pdfsize,metadata size,pages,xref length,title characters,isEncrypted,embedded files,images,text,header,obj,endobj,stream,endstream,xref,trailer,startxref,pageno,encrypt,ObjStm,JS,Javascript,AA,OpenAction,Acroform,JBIG2Decode,RichMedia,launch,EmbeddedFile,XFA,Colors
440,254,8,120,0,0,0,32,Yes,-1,112,52,52,1,1,1,8,0,0,0,0,0,1,0,0,0,0,0,0,2,0
345,274,4,397,0,0,0,4,Yes,-1,51,15,15,2,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
